;time;precipitation;precipitation_probability;weather_code;temperature_2m;relative_humidity_2m;latitude;longitude;regiao
0;2025-11-07T00:00;0.0;0;0;3.5;65;43.6536032;-79.3840054;9
1;2025-11-07T01:00;0.0;0;0;2.1;72;43.6536032;-79.3840054;9
2;2025-11-07T02:00;0.0;0;3;1.5;74;43.6536032;-79.3840054;9
3;2025-11-07T03:00;0.0;0;0;1.1;78;43.6536032;-79.3840054;9
4;2025-11-07T04:00;0.0;0;0;1.3;72;43.6536032;-79.3840054;9
5;2025-11-07T05:00;0.0;0;1;2.2;68;43.6536032;-79.3840054;9
6;2025-11-07T06:00;0.0;0;3;3.9;57;43.6536032;-79.3840054;9
7;2025-11-07T07:00;0.0;0;3;4.7;68;43.6536032;-79.3840054;9
8;2025-11-07T08:00;0.0;0;3;6.1;65;43.6536032;-79.3840054;9
9;2025-11-07T09:00;0.0;2;3;6.5;67;43.6536032;-79.3840054;9
10;2025-11-07T10:00;0.0;2;3;6.9;68;43.6536032;-79.3840054;9
11;2025-11-07T11:00;0.0;6;3;7.1;66;43.6536032;-79.3840054;9
12;2025-11-07T12:00;0.0;1;3;7.6;63;43.6536032;-79.3840054;9
13;2025-11-07T13:00;0.0;1;3;8.0;60;43.6536032;-79.3840054;9
14;2025-11-07T14:00;0.0;12;3;9.3;56;43.6536032;-79.3840054;9
15;2025-11-07T15:00;0.0;10;3;9.9;55;43.6536032;-79.3840054;9
16;2025-11-07T16:00;0.0;24;3;9.6;69;43.6536032;-79.3840054;9
17;2025-11-07T17:00;0.4;57;51;7.6;87;43.6536032;-79.3840054;9
18;2025-11-07T18:00;0.6;63;53;8.2;91;43.6536032;-79.3840054;9
19;2025-11-07T19:00;0.0;13;3;8.6;90;43.6536032;-79.3840054;9
20;2025-11-07T20:00;0.0;9;3;9.4;91;43.6536032;-79.3840054;9
21;2025-11-07T21:00;0.0;9;3;10.3;91;43.6536032;-79.3840054;9
22;2025-11-07T22:00;0.0;4;3;10.6;87;43.6536032;-79.3840054;9
23;2025-11-07T23:00;0.0;1;3;10.4;85;43.6536032;-79.3840054;9
24;2025-11-08T00:00;0.0;1;3;10.2;83;43.6536032;-79.3840054;9
25;2025-11-08T01:00;0.0;1;3;10.4;82;43.6536032;-79.3840054;9
26;2025-11-08T02:00;0.0;0;3;10.2;81;43.6536032;-79.3840054;9
27;2025-11-08T03:00;0.0;1;3;9.5;78;43.6536032;-79.3840054;9
28;2025-11-08T04:00;0.0;0;0;8.8;72;43.6536032;-79.3840054;9
29;2025-11-08T05:00;0.0;0;0;8.2;73;43.6536032;-79.3840054;9
30;2025-11-08T06:00;0.0;0;0;7.7;74;43.6536032;-79.3840054;9
31;2025-11-08T07:00;0.0;0;0;6.5;72;43.6536032;-79.3840054;9
32;2025-11-08T08:00;0.0;0;3;6.1;74;43.6536032;-79.3840054;9
33;2025-11-08T09:00;0.0;0;3;5.0;76;43.6536032;-79.3840054;9
34;2025-11-08T10:00;0.0;0;3;4.3;75;43.6536032;-79.3840054;9
35;2025-11-08T11:00;0.0;0;3;3.5;77;43.6536032;-79.3840054;9
36;2025-11-08T12:00;0.0;0;3;3.3;77;43.6536032;-79.3840054;9
37;2025-11-08T13:00;0.0;0;0;3.2;76;43.6536032;-79.3840054;9
38;2025-11-08T14:00;0.0;0;0;4.2;72;43.6536032;-79.3840054;9
39;2025-11-08T15:00;0.0;0;3;5.0;71;43.6536032;-79.3840054;9
40;2025-11-08T16:00;0.0;0;3;6.0;62;43.6536032;-79.3840054;9
41;2025-11-08T17:00;0.0;0;3;6.1;59;43.6536032;-79.3840054;9
42;2025-11-08T18:00;0.0;0;3;6.8;55;43.6536032;-79.3840054;9
43;2025-11-08T19:00;0.0;0;1;6.6;56;43.6536032;-79.3840054;9
44;2025-11-08T20:00;0.0;0;1;6.2;54;43.6536032;-79.3840054;9
45;2025-11-08T21:00;0.0;0;1;5.6;52;43.6536032;-79.3840054;9
46;2025-11-08T22:00;0.0;0;1;3.7;58;43.6536032;-79.3840054;9
47;2025-11-08T23:00;0.0;0;2;2.5;60;43.6536032;-79.3840054;9
48;2025-11-09T00:00;0.0;0;3;1.9;62;43.6536032;-79.3840054;9
49;2025-11-09T01:00;0.0;0;3;2.6;61;43.6536032;-79.3840054;9
50;2025-11-09T02:00;0.0;0;3;2.0;62;43.6536032;-79.3840054;9
51;2025-11-09T03:00;0.0;0;3;1.9;64;43.6536032;-79.3840054;9
52;2025-11-09T04:00;0.0;1;3;1.6;64;43.6536032;-79.3840054;9
53;2025-11-09T05:00;0.0;4;3;1.4;64;43.6536032;-79.3840054;9
54;2025-11-09T06:00;0.0;9;3;1.3;66;43.6536032;-79.3840054;9
55;2025-11-09T07:00;0.0;8;3;1.2;68;43.6536032;-79.3840054;9
56;2025-11-09T08:00;0.0;3;3;0.8;70;43.6536032;-79.3840054;9
57;2025-11-09T09:00;0.0;11;3;0.6;80;43.6536032;-79.3840054;9
58;2025-11-09T10:00;0.1;22;71;0.7;87;43.6536032;-79.3840054;9
59;2025-11-09T11:00;0.2;26;71;0.1;90;43.6536032;-79.3840054;9
60;2025-11-09T12:00;0.5;24;73;-0.1;89;43.6536032;-79.3840054;9
61;2025-11-09T13:00;0.3;19;73;-0.2;88;43.6536032;-79.3840054;9
62;2025-11-09T14:00;0.4;37;73;-0.3;90;43.6536032;-79.3840054;9
63;2025-11-09T15:00;0.5;28;73;-0.4;90;43.6536032;-79.3840054;9
64;2025-11-09T16:00;0.2;33;71;-0.5;89;43.6536032;-79.3840054;9
65;2025-11-09T17:00;0.7;42;73;-0.6;92;43.6536032;-79.3840054;9
66;2025-11-09T18:00;0.7;68;73;-0.8;91;43.6536032;-79.3840054;9
67;2025-11-09T19:00;1.2;87;73;-0.8;91;43.6536032;-79.3840054;9
68;2025-11-09T20:00;1.5;91;73;-1.1;92;43.6536032;-79.3840054;9
69;2025-11-09T21:00;1.4;77;73;-1.4;90;43.6536032;-79.3840054;9
70;2025-11-09T22:00;0.9;64;73;-1.9;88;43.6536032;-79.3840054;9
71;2025-11-09T23:00;0.8;40;73;-2.0;88;43.6536032;-79.3840054;9
72;2025-11-10T00:00;0.1;20;71;-2.1;87;43.6536032;-79.3840054;9
73;2025-11-10T01:00;0.0;15;3;-2.2;82;43.6536032;-79.3840054;9
74;2025-11-10T02:00;0.0;19;3;-2.5;81;43.6536032;-79.3840054;9
75;2025-11-10T03:00;0.1;26;71;-2.7;81;43.6536032;-79.3840054;9
76;2025-11-10T04:00;1.1;29;73;-3.1;83;43.6536032;-79.3840054;9
77;2025-11-10T05:00;0.1;8;71;-2.6;81;43.6536032;-79.3840054;9
78;2025-11-10T06:00;0.4;3;73;-2.7;79;43.6536032;-79.3840054;9
79;2025-11-10T07:00;0.0;2;2;-3.6;76;43.6536032;-79.3840054;9
80;2025-11-10T08:00;0.0;1;3;-4.1;75;43.6536032;-79.3840054;9
81;2025-11-10T09:00;0.0;1;3;-3.0;75;43.6536032;-79.3840054;9
82;2025-11-10T10:00;0.0;1;3;-3.6;79;43.6536032;-79.3840054;9
83;2025-11-10T11:00;0.0;2;3;-4.5;75;43.6536032;-79.3840054;9
84;2025-11-10T12:00;0.0;4;3;-4.8;72;43.6536032;-79.3840054;9
85;2025-11-10T13:00;0.3;5;73;-4.2;78;43.6536032;-79.3840054;9
86;2025-11-10T14:00;0.4;17;73;-3.3;80;43.6536032;-79.3840054;9
87;2025-11-10T15:00;0.1;14;71;-2.7;82;43.6536032;-79.3840054;9
88;2025-11-10T16:00;0.1;10;71;-2.9;81;43.6536032;-79.3840054;9
89;2025-11-10T17:00;0.0;3;3;-2.8;78;43.6536032;-79.3840054;9
90;2025-11-10T18:00;0.0;4;3;-2.1;76;43.6536032;-79.3840054;9
91;2025-11-10T19:00;0.0;4;3;-2.2;73;43.6536032;-79.3840054;9
92;2025-11-10T20:00;0.0;5;3;-2.6;75;43.6536032;-79.3840054;9
93;2025-11-10T21:00;0.0;4;3;-3.5;79;43.6536032;-79.3840054;9
94;2025-11-10T22:00;0.0;1;1;-4.3;75;43.6536032;-79.3840054;9
95;2025-11-10T23:00;0.0;1;3;-3.8;74;43.6536032;-79.3840054;9
96;2025-11-11T00:00;0.0;2;3;-4.8;70;43.6536032;-79.3840054;9
97;2025-11-11T01:00;0.0;4;3;-4.4;76;43.6536032;-79.3840054;9
98;2025-11-11T02:00;0.2;7;71;-4.4;81;43.6536032;-79.3840054;9
99;2025-11-11T03:00;0.0;9;3;-5.0;80;43.6536032;-79.3840054;9
100;2025-11-11T04:00;0.0;6;3;-5.2;82;43.6536032;-79.3840054;9
101;2025-11-11T05:00;0.0;5;3;-4.3;78;43.6536032;-79.3840054;9
102;2025-11-11T06:00;0.0;8;3;-5.1;79;43.6536032;-79.3840054;9
103;2025-11-11T07:00;0.0;14;3;-4.5;80;43.6536032;-79.3840054;9
104;2025-11-11T08:00;0.0;18;3;-3.9;84;43.6536032;-79.3840054;9
105;2025-11-11T09:00;0.2;15;71;-3.5;85;43.6536032;-79.3840054;9
106;2025-11-11T10:00;0.0;21;3;-4.0;86;43.6536032;-79.3840054;9
107;2025-11-11T11:00;0.1;16;71;-4.2;81;43.6536032;-79.3840054;9
108;2025-11-11T12:00;0.5;15;73;-3.2;84;43.6536032;-79.3840054;9
109;2025-11-11T13:00;0.1;20;71;-2.3;90;43.6536032;-79.3840054;9
110;2025-11-11T14:00;0.2;32;71;-1.5;94;43.6536032;-79.3840054;9
111;2025-11-11T15:00;0.4;15;73;-0.3;93;43.6536032;-79.3840054;9
112;2025-11-11T16:00;0.0;20;0;1.0;80;43.6536032;-79.3840054;9
113;2025-11-11T17:00;0.0;13;0;3.8;55;43.6536032;-79.3840054;9
114;2025-11-11T18:00;0.0;5;0;3.3;65;43.6536032;-79.3840054;9
115;2025-11-11T19:00;0.0;1;0;2.8;68;43.6536032;-79.3840054;9
116;2025-11-11T20:00;0.0;2;3;2.3;77;43.6536032;-79.3840054;9
117;2025-11-11T21:00;0.0;0;3;2.3;77;43.6536032;-79.3840054;9
118;2025-11-11T22:00;0.0;0;3;2.2;70;43.6536032;-79.3840054;9
119;2025-11-11T23:00;0.0;0;3;1.7;68;43.6536032;-79.3840054;9
120;2025-11-12T00:00;0.0;0;2;1.8;64;43.6536032;-79.3840054;9
121;2025-11-12T01:00;0.0;1;3;2.1;69;43.6536032;-79.3840054;9
122;2025-11-12T02:00;0.0;8;3;0.6;81;43.6536032;-79.3840054;9
123;2025-11-12T03:00;0.8;31;73;0.5;88;43.6536032;-79.3840054;9
124;2025-11-12T04:00;0.5;36;73;0.5;89;43.6536032;-79.3840054;9
125;2025-11-12T05:00;0.1;17;51;1.7;78;43.6536032;-79.3840054;9
126;2025-11-12T06:00;0.0;6;2;2.0;72;43.6536032;-79.3840054;9
127;2025-11-12T07:00;0.0;3;1;2.4;71;43.6536032;-79.3840054;9
128;2025-11-12T08:00;0.0;2;2;1.8;68;43.6536032;-79.3840054;9
129;2025-11-12T09:00;0.0;2;3;1.3;70;43.6536032;-79.3840054;9
130;2025-11-12T10:00;0.0;2;1;1.4;73;43.6536032;-79.3840054;9
131;2025-11-12T11:00;0.0;4;3;1.9;74;43.6536032;-79.3840054;9
132;2025-11-12T12:00;0.0;7;3;2.2;73;43.6536032;-79.3840054;9
133;2025-11-12T13:00;0.0;12;3;2.6;72;43.6536032;-79.3840054;9
134;2025-11-12T14:00;0.0;6;3;2.8;82;43.6536032;-79.3840054;9
135;2025-11-12T15:00;0.0;5;3;3.3;84;43.6536032;-79.3840054;9
136;2025-11-12T16:00;0.0;6;3;4.8;85;43.6536032;-79.3840054;9
137;2025-11-12T17:00;0.0;4;3;5.6;83;43.6536032;-79.3840054;9
138;2025-11-12T18:00;0.0;2;3;6.1;83;43.6536032;-79.3840054;9
139;2025-11-12T19:00;0.0;7;3;7.5;76;43.6536032;-79.3840054;9
140;2025-11-12T20:00;0.0;9;2;7.4;75;43.6536032;-79.3840054;9
141;2025-11-12T21:00;0.0;4;2;6.5;75;43.6536032;-79.3840054;9
142;2025-11-12T22:00;0.0;20;3;5.8;78;43.6536032;-79.3840054;9
143;2025-11-12T23:00;0.0;39;3;5.5;82;43.6536032;-79.3840054;9
144;2025-11-13T00:00;0.0;24;3;4.6;80;43.6536032;-79.3840054;9
145;2025-11-13T01:00;0.0;18;3;5.1;79;43.6536032;-79.3840054;9
146;2025-11-13T02:00;0.0;15;3;4.9;73;43.6536032;-79.3840054;9
147;2025-11-13T03:00;0.0;4;0;4.1;79;43.6536032;-79.3840054;9
148;2025-11-13T04:00;0.0;12;0;3.6;80;43.6536032;-79.3840054;9
149;2025-11-13T05:00;0.0;10;1;3.5;79;43.6536032;-79.3840054;9
150;2025-11-13T06:00;0.0;2;0;3.0;80;43.6536032;-79.3840054;9
151;2025-11-13T07:00;0.0;10;0;2.7;80;43.6536032;-79.3840054;9
152;2025-11-13T08:00;0.0;9;3;3.4;72;43.6536032;-79.3840054;9
153;2025-11-13T09:00;0.0;4;0;3.0;75;43.6536032;-79.3840054;9
154;2025-11-13T10:00;0.0;12;3;2.7;77;43.6536032;-79.3840054;9
155;2025-11-13T11:00;0.2;18;51;2.7;78;43.6536032;-79.3840054;9
156;2025-11-13T12:00;0.0;21;0;2.6;80;43.6536032;-79.3840054;9
157;2025-11-13T13:00;0.0;12;0;3.1;80;43.6536032;-79.3840054;9
158;2025-11-13T14:00;0.0;11;0;4.9;76;43.6536032;-79.3840054;9
159;2025-11-13T15:00;0.0;6;0;6.2;75;43.6536032;-79.3840054;9
160;2025-11-13T16:00;0.0;7;0;7.0;65;43.6536032;-79.3840054;9
161;2025-11-13T17:00;0.0;8;0;7.6;59;43.6536032;-79.3840054;9
162;2025-11-13T18:00;0.0;14;3;5.5;76;43.6536032;-79.3840054;9
163;2025-11-13T19:00;0.0;8;1;6.8;67;43.6536032;-79.3840054;9
164;2025-11-13T20:00;0.0;8;0;6.7;62;43.6536032;-79.3840054;9
165;2025-11-13T21:00;0.0;6;3;5.7;72;43.6536032;-79.3840054;9
166;2025-11-13T22:00;0.1;8;51;4.5;70;43.6536032;-79.3840054;9
167;2025-11-13T23:00;0.0;4;0;3.3;77;43.6536032;-79.3840054;9
168;2025-11-14T00:00;0.0;1;1;2.9;76;43.6536032;-79.3840054;9
169;2025-11-14T01:00;0.0;1;0;2.5;77;43.6536032;-79.3840054;9
170;2025-11-14T02:00;0.0;1;0;2.5;71;43.6536032;-79.3840054;9
171;2025-11-14T03:00;0.0;0;3;2.6;78;43.6536032;-79.3840054;9
172;2025-11-14T04:00;0.0;0;1;2.3;73;43.6536032;-79.3840054;9
173;2025-11-14T05:00;0.0;0;0;1.7;76;43.6536032;-79.3840054;9
174;2025-11-14T06:00;0.0;1;0;2.0;74;43.6536032;-79.3840054;9
175;2025-11-14T07:00;0.0;0;0;0.9;76;43.6536032;-79.3840054;9
176;2025-11-14T08:00;0.0;0;0;0.4;81;43.6536032;-79.3840054;9
177;2025-11-14T09:00;0.0;0;0;0.3;80;43.6536032;-79.3840054;9
178;2025-11-14T10:00;0.0;0;0;0.6;81;43.6536032;-79.3840054;9
179;2025-11-14T11:00;0.0;0;0;0.5;83;43.6536032;-79.3840054;9
180;2025-11-14T12:00;0.0;0;0;0.4;82;43.6536032;-79.3840054;9
181;2025-11-14T13:00;0.0;0;0;0.8;83;43.6536032;-79.3840054;9
182;2025-11-14T14:00;0.0;0;0;3.3;77;43.6536032;-79.3840054;9
183;2025-11-14T15:00;0.0;0;3;5.2;72;43.6536032;-79.3840054;9
184;2025-11-14T16:00;0.0;0;3;6.6;70;43.6536032;-79.3840054;9
185;2025-11-14T17:00;0.0;0;3;7.9;67;43.6536032;-79.3840054;9
186;2025-11-14T18:00;0.0;0;2;9.1;64;43.6536032;-79.3840054;9
187;2025-11-14T19:00;0.0;0;0;9.7;62;43.6536032;-79.3840054;9
188;2025-11-14T20:00;0.0;0;3;10.1;59;43.6536032;-79.3840054;9
189;2025-11-14T21:00;0.0;0;0;9.0;65;43.6536032;-79.3840054;9
190;2025-11-14T22:00;0.0;0;0;6.4;73;43.6536032;-79.3840054;9
191;2025-11-14T23:00;0.0;1;0;4.9;77;43.6536032;-79.3840054;9
