;pid;fd;familia;tipo;laddr;status
0;0;-1;2;1;addr(ip='127.0.0.1', port=50657);TIME_WAIT
1;0;-1;2;1;addr(ip='127.0.0.1', port=53544);TIME_WAIT
2;42404;-1;2;1;addr(ip='127.0.0.1', port=49350);CLOSE_WAIT
3;33976;-1;23;1;addr(ip='::1', port=61375);ESTABLISHED
4;33976;-1;2;1;addr(ip='10.18.32.112', port=61376);CLOSE_WAIT
5;30396;-1;2;1;addr(ip='10.18.32.112', port=53045);ESTABLISHED
6;0;-1;2;1;addr(ip='127.0.0.1', port=61381);TIME_WAIT
7;0;-1;2;1;addr(ip='127.0.0.1', port=61385);TIME_WAIT
8;5028;-1;2;2;addr(ip='127.0.0.1', port=59948);NONE
9;0;-1;2;1;addr(ip='127.0.0.1', port=53547);TIME_WAIT
10;0;-1;2;1;addr(ip='127.0.0.1', port=53555);TIME_WAIT
11;3112;-1;23;1;addr(ip='::', port=49668);LISTEN
12;42404;-1;2;1;addr(ip='127.0.0.1', port=49350);CLOSE_WAIT
13;4816;-1;2;1;addr(ip='127.0.0.1', port=61899);ESTABLISHED
14;0;-1;2;1;addr(ip='127.0.0.1', port=61393);TIME_WAIT
15;0;-1;2;1;addr(ip='127.0.0.1', port=61406);TIME_WAIT
16;4828;-1;2;1;addr(ip='10.18.32.112', port=59480);ESTABLISHED
17;25188;-1;23;2;addr(ip='fe80::653e:abf9:19e:8b8b', port=2177);NONE
18;0;-1;2;1;addr(ip='127.0.0.1', port=61396);TIME_WAIT
19;4;-1;2;2;addr(ip='10.18.32.112', port=138);NONE
20;0;-1;2;1;addr(ip='127.0.0.1', port=61400);TIME_WAIT
21;0;-1;2;1;addr(ip='127.0.0.1', port=55710);TIME_WAIT
22;1528;-1;2;1;addr(ip='0.0.0.0', port=135);LISTEN
23;0;-1;2;1;addr(ip='127.0.0.1', port=61372);TIME_WAIT
24;42404;-1;2;1;addr(ip='127.0.0.1', port=49350);LISTEN
25;4276;-1;23;1;addr(ip='::', port=49670);LISTEN
26;0;-1;2;1;addr(ip='127.0.0.1', port=61390);TIME_WAIT
27;0;-1;2;1;addr(ip='127.0.0.1', port=53558);TIME_WAIT
28;0;-1;2;1;addr(ip='127.0.0.1', port=61407);TIME_WAIT
29;42404;-1;2;1;addr(ip='127.0.0.1', port=49350);CLOSE_WAIT
30;4;-1;2;1;addr(ip='169.254.72.50', port=139);LISTEN
31;42404;-1;2;1;addr(ip='127.0.0.1', port=61413);FIN_WAIT2
32;13012;-1;2;2;addr(ip='127.0.0.1', port=1900);NONE
33;4;-1;2;2;addr(ip='10.18.32.112', port=137);NONE
34;0;-1;2;1;addr(ip='127.0.0.1', port=49683);TIME_WAIT
35;3536;-1;2;1;addr(ip='127.0.0.1', port=49351);LISTEN
36;4;-1;2;1;addr(ip='127.0.0.1', port=28385);LISTEN
37;0;-1;2;1;addr(ip='127.0.0.1', port=61403);TIME_WAIT
38;0;-1;2;1;addr(ip='127.0.0.1', port=49674);TIME_WAIT
39;0;-1;2;1;addr(ip='10.18.32.112', port=61387);TIME_WAIT
40;13012;-1;2;2;addr(ip='169.254.72.50', port=60346);NONE
41;4828;-1;2;1;addr(ip='10.18.32.112', port=63127);ESTABLISHED
42;36092;-1;23;2;addr(ip='::', port=5353);NONE
43;13012;-1;2;2;addr(ip='10.18.32.112', port=1900);NONE
