,fk_servidor,nomeMaquina,timestamp,cpu,ram,disco,temperatura_cpu,temperatura_disco,memoria_swap,quantidade_processos,donwload_bytes,upload_bytes,pacotes_recebidos,pacotes_enviados,dropin,dropout,numero_leituras,numero_escritas,bytes_lidos,bytes_escritos,tempo_leitura,tempo_escrita
0,11,DESKTOP-G2ODTKO,2025-11-20 20:22:05,3.2,83.9,16.8,48.47,36.37,351.04,250,35238929,83779833,89236,51433,0,0,4039025,4403514,150425115648,103331788288,4663,13014
1,11,DESKTOP-G2ODTKO,2025-11-20 20:22:09,3.4,83.2,16.8,46.9,35.48,355.23,250,35240387,83783184,89252,51441,0,0,4039037,4403815,150425365504,103341860352,4663,13015
2,11,DESKTOP-G2ODTKO,2025-11-20 20:22:13,3.2,83.0,16.8,49.17,36.95,355.23,250,35241348,83783607,89261,51446,0,0,4039047,4403882,150425693184,103342548480,4663,13016
3,11,DESKTOP-G2ODTKO,2025-11-20 20:22:17,3.1,83.0,16.8,47.24,35.36,355.23,250,35241962,83783607,89267,51446,0,0,4039061,4403955,150426151936,103343363584,4664,13016
4,11,DESKTOP-G2ODTKO,2025-11-20 20:22:21,2.7,82.9,16.8,46.98,35.7,355.23,250,35242421,83783723,89272,51448,0,0,4039071,4404012,150426479616,103344162304,4664,13017
5,11,DESKTOP-G2ODTKO,2025-11-20 20:22:25,2.0,82.9,16.8,44.01,34.7,355.23,250,35244246,83784594,89283,51456,0,0,4039081,4404046,150426807296,103344666112,4664,13017
6,11,DESKTOP-G2ODTKO,2025-11-20 20:22:30,2.6,82.9,16.8,46.99,35.02,355.23,250,35244550,83784594,89286,51456,0,0,4039091,4404106,150427134976,103345223168,4664,13018
7,11,DESKTOP-G2ODTKO,2025-11-20 20:22:34,2.8,82.9,16.8,44.13,34.86,355.23,250,35245295,83784962,89293,51460,0,0,4039101,4404138,150427462656,103345747456,4664,13019
8,11,DESKTOP-G2ODTKO,2025-11-20 20:22:38,2.4,82.9,16.8,48.1,35.03,355.23,249,35246166,83785330,89300,51464,0,0,4039111,4404169,150427790336,103346075136,4664,13019
9,11,DESKTOP-G2ODTKO,2025-11-20 20:22:42,3.1,82.9,16.8,46.48,35.96,355.23,249,35246556,83785495,89304,51466,0,0,4039122,4404213,150428150784,103346791936,4664,13019
10,11,DESKTOP-G2ODTKO,2025-11-20 20:22:46,2.1,82.9,16.8,45.17,36.73,355.23,248,35247089,83785671,89309,51468,0,0,4039133,4404396,150428511232,103347996160,4664,13020
11,11,DESKTOP-G2ODTKO,2025-11-20 20:22:50,7.6,82.9,16.8,50.48,35.56,355.23,248,35252373,83789275,89336,51492,0,0,4039158,4404432,150428929024,103348364800,4664,13020
12,11,DESKTOP-G2ODTKO,2025-11-20 20:22:54,2.6,82.9,16.8,44.88,36.86,355.23,248,35253760,83789975,89351,51501,0,0,4039168,4404490,150429256704,103348987392,4664,13021
13,11,DESKTOP-G2ODTKO,2025-11-20 20:22:58,2.9,82.9,16.8,50.24,35.97,355.23,248,35254988,83790784,89365,51512,0,0,4039178,4404525,150429584384,103349380608,4664,13021
14,11,DESKTOP-G2ODTKO,2025-11-20 20:23:02,2.8,82.9,16.8,49.49,35.18,355.23,248,35255437,83790923,89370,51514,0,0,4039188,4404558,150429912064,103349814784,4664,13022
15,11,DESKTOP-G2ODTKO,2025-11-20 20:23:06,3.3,82.9,16.8,49.14,34.97,355.23,248,35255942,83791067,89376,51516,0,0,4039198,4404604,150430239744,103350412800,4664,13022
16,11,DESKTOP-G2ODTKO,2025-11-20 20:23:10,2.5,82.9,16.8,47.98,35.55,355.23,248,35257233,83791465,89388,51522,0,0,4039208,4404636,150430567424,103350756864,4664,13023
17,11,DESKTOP-G2ODTKO,2025-11-20 20:23:14,2.4,82.9,16.8,49.14,36.86,355.23,248,35264298,83800208,89433,51556,0,0,4039218,4404673,150430895104,103351232000,4664,13023
18,11,DESKTOP-G2ODTKO,2025-11-20 20:23:18,2.9,82.9,16.8,44.41,36.15,355.23,248,35264697,83800358,89437,51558,0,0,4039228,4404703,150431222784,103351580160,4665,13024
19,11,DESKTOP-G2ODTKO,2025-11-20 20:23:22,3.4,82.9,16.8,46.18,35.41,355.23,248,35265160,83800444,89441,51559,0,0,4039238,4404828,150431550464,103352526336,4665,13024
